file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,210,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,11
style.css,211,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,13
style.css,212,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,19
style.css,213,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,8
style.css,214,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,215,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,216,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,16
style.css,217,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,11
style.css,218,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,12
style.css,219,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,19
style.css,220,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,21
style.css,221,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,30
style.css,222,css,1cb14ec7,RitvikMohindru,2025-02-07,23:35:54,-08:00,2025-02-07T23:35:54-08:00,0,0
